book_names,book_urls,author_name,avg_rating,no_of_ratings,img_src,image_name
Man’s Search for Meaning,https://www.goodreads.com/book/show/4069.Man_s_Search_for_Meaning,Viktor E. Frankl,4.37,704487,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1535419394i/4069._SY75_.jpg,cover_284.png
Bridge to Terabithia,https://www.goodreads.com/book/show/40940121-bridge-to-terabithia,Katherine Paterson,4.04,543348,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532478367i/40940121._SY75_.jpg,cover_285.png
The Vanishing Half,https://www.goodreads.com/book/show/51791252-the-vanishing-half,Brit Bennett,4.15,745426,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1577090827l/51791252._SX50_SY75_.jpg,cover_286.png
"Tomorrow, and Tomorrow, and Tomorrow",https://www.goodreads.com/book/show/58784475-tomorrow-and-tomorrow-and-tomorrow,Gabrielle Zevin,4.18,799255,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1636978687i/58784475._SY75_.jpg,cover_287.png
The Shack,https://www.goodreads.com/book/show/40874325-the-shack,William Paul Young,3.82,647748,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532013572i/40874325._SY75_.jpg,cover_288.png
"Shatter Me (Shatter Me, #1)",https://www.goodreads.com/book/show/10429045-shatter-me,Tahereh Mafi,3.86,857294,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1310649047i/10429045._SY75_.jpg,cover_289.png
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",https://www.goodreads.com/book/show/397483.The_Devil_in_the_White_City,Erik Larson,4.00,678102,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1583433024i/397483._SY75_.jpg,cover_290.png
"One of Us Is Lying (One of Us is Lying, #1)",https://www.goodreads.com/book/show/58679358-one-of-us-is-lying,Karen M. McManus,3.94,831254,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1632078539i/58679358._SY75_.jpg,cover_291.png
"Moby-Dick or, The Whale",https://www.goodreads.com/book/show/153747.Moby_Dick_or_The_Whale,Herman Melville,3.54,557399,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327940656i/153747._SY75_.jpg,cover_292.png
"The House in the Cerulean Sea (The House in the Cerulean Sea, #1)",https://www.goodreads.com/book/show/45047384-the-house-in-the-cerulean-sea,T.J. Klune,4.41,608430,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1569514209i/45047384._SY75_.jpg,cover_293.png
The Hating Game,https://www.goodreads.com/book/show/27213238-the-hating-game,Sally Thorne,3.90,704766,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1481566824i/27213238._SY75_.jpg,cover_294.png
